Modell,Hersteller,Segment,Batterie [kWh],Verbrauch [kWh / 100 km],AC-Ladeleistung [kW],DC-Ladeleistung [kW]
e-tron 55 quattro,Audi,SUV,86.5,23.7,11,155
iX xDrive50,BMW,Obere Mittelklasse,105.2,20.8,11,200
i4 eDrive40,BMW,Mittelklasse,80.7,17,11,200
i3 120Ah,BMW,Kleinwagen,37.9,16.1,11,49
e-SpaceTourer M 75 kWh,Citroen,Grossraum-Van,68,25.2,7.4,100
IONIQ 5 Project 45,Hyundai,Kompaktklasse,72.6,19.6,11,232
e-Soul 36 kWh,Kia,Mini-Van,39.2,17,7.2,50
EQS 450+,Mercedes,Oberklasse,107.8,16.8,11,200
e-NV200 Evalia,Nissan,Utility,36,21.8,6.6,46
Twingo Electric,Renault ,Mini,21.3,16.4,22,0
Roadster,Tesla,Sportwagen,200,20.6,22,250
